total_calls,high_priority,medium_priority,low_priority,gridid,objectid,Shape__Area,Shape__Length
7017,480,1823,4714,882a134855fffff,207,1251923.4453125,4168.2953391568
15506,1370,3283,10853,882a134857fffff,208,1251446.0703125,4167.50578673282
7955,854,2425,4676,882a134859fffff,209,1252109.19140625,4168.60289992712
5872,524,1513,3835,882a13485bfffff,210,1251631.68359375,4167.81319899584
17876,677,2243,14956,882a13485dfffff,211,1252254.84765625,4168.84356783206
248,7,42,199,882a134861fffff,212,1252837.0546875,4169.80545084435
145,5,43,97,882a134863fffff,213,1252359.828125,4169.01640040257
188,4,36,148,882a134865fffff,214,1252982.59765625,4170.04588752662
569,31,178,360,882a134867fffff,215,1252505.09375,4169.25641382111
397,12,152,233,882a134869fffff,216,1253169.45703125,4170.35513732029
373,42,124,207,882a13486bfffff,217,1252691.79296875,4169.56548453689
38,2,15,21,882a13486dfffff,218,1253315.0546875,4170.59562530806
15502,1773,4474,9255,882a134881fffff,219,1248402.53515625,4162.46804447294
12639,1182,3834,7623,882a134883fffff,220,1247926.875,4161.68024107346
639,42,177,420,882a134885fffff,221,1248547.09765625,4162.70727917945
3278,204,870,2204,882a134887fffff,222,1248071.65234375,4161.91984952574
12344,972,2383,8989,882a134889fffff,223,1248732.84375,4163.01518741931
15884,1803,4607,9474,882a13488bfffff,224,1248257.41796875,4162.22786462651
10558,1228,3324,6006,882a13488dfffff,225,1248878.05859375,4163.25550777736
11312,929,2997,7386,882a134891fffff,226,1247307.21484375,4160.65388694478
26721,1021,5205,20495,882a134893fffff,227,1246832.2109375,4159.86684656254
6631,706,1599,4326,882a134895fffff,228,1247451.87890625,4160.89339112405
8475,396,2226,5853,882a134897fffff,229,1246976.88671875,4160.10638574496
19803,1728,5057,13018,882a134899fffff,230,1247637.234375,4161.20079872577
10684,913,3232,6539,882a13489bfffff,231,1247162.265625,4160.41387945479
14446,1021,3099,10326,882a13489dfffff,232,1247782.1328125,4161.44065361316
1448,46,430,972,882a1348a1fffff,233,1248360.734375,4162.3983118601
9125,741,2732,5652,882a1348a3fffff,234,1247885.765625,4161.6116344753
2232,173,575,1484,882a1348a5fffff,235,1248505.3046875,4162.63755126559
3554,249,919,2386,882a1348a7fffff,236,1248030.08984375,4161.85053219184
1306,9,163,1134,882a1348a9fffff,237,1248691.8125,4162.94674991565
969,20,152,797,882a1348abfffff,238,1248216.41796875,4162.15945365954
1316,37,348,931,882a1348adfffff,239,1248836.41015625,4163.18599467735
9135,919,2736,5480,882a1348b1fffff,240,1247266.15625,4160.58535628697
9152,400,2304,6448,882a1348b3fffff,241,1246791.33984375,4159.79859748871
12824,1468,4044,7312,882a1348b5fffff,242,1247410.45703125,4160.8242483624
12391,850,3398,8143,882a1348b7fffff,243,1246935.6484375,4160.03755820566
3273,289,994,1990,882a1348b9fffff,244,1247596.46484375,4161.13272579735
4682,208,1003,3471,882a1348bbfffff,245,1247121.3984375,4160.34567144937
5409,292,1583,3534,882a1348bdfffff,246,1247741.015625,4161.37203327326
11455,1711,3655,6089,882a1348c1fffff,247,1249539.703125,4164.35125862349
13018,1525,3953,7540,882a1348c3fffff,248,1249063.90625,4163.56353461923
4852,520,1533,2799,882a1348c5fffff,249,1249685.0625,4164.59168979508
11905,1440,3356,7109,882a1348c7fffff,250,1249208.8984375,4163.80337924308
13937,1416,3887,8634,882a1348c9fffff,251,1249870.60546875,4164.89915975979
32343,1459,3803,27081,882a1348cbfffff,252,1249394.53515625,4164.11114548071
4103,507,1251,2345,882a1348cdfffff,253,1250016.05078125,4165.13968074678
12012,1473,3774,6765,882a1348d1fffff,254,1248442.97265625,4162.53552542485
8118,804,2244,5070,882a1348d3fffff,255,1247967.38671875,4161.74786718757
20102,2269,5518,12315,882a1348d5fffff,256,1248588.05859375,4162.77560668676
14228,1507,3942,8779,882a1348d7fffff,257,1248112.53515625,4161.98809411034
14928,1721,5464,7743,882a1348d9fffff,258,1248773.74609375,4163.08344916346
10796,1192,3594,6010,882a1348dbfffff,259,1248297.72265625,4162.29516800741
19858,2498,6494,10866,882a1348ddfffff,260,1248918.67578125,4163.32324426647
1862,62,238,1562,882a1348e1fffff,261,1249499.33203125,4164.28388002219
1108,35,271,802,882a1348e3fffff,262,1249022.7578125,4163.49487304292
4630,312,1309,3009,882a1348e5fffff,263,1249644.46484375,4164.52393340297
1608,54,297,1257,882a1348e7fffff,264,1249167.54296875,4163.73441296461
4105,341,1244,2520,882a1348e9fffff,265,1249830.46484375,4164.83216386728
1828,107,476,1245,882a1348ebfffff,266,1249354.33203125,4164.04398808145
2433,124,625,1684,882a1348edfffff,267,1249975.68359375,4165.07230750406
3,0,0,3,882a13490bfffff,268,1252603.5078125,4169.41795296867
144,8,40,96,882a134919fffff,269,1251982.3671875,4168.39121593797
0,0,0,0,882a13491bfffff,270,1251507.46484375,4167.60577633048
0,0,0,0,882a134943fffff,271,1253414.1875,4170.75833886158
13,0,2,11,882a13494bfffff,272,1253748.09765625,4171.31060870783
64,24,20,20,882a134951fffff,273,1252794.72265625,4169.73483283949
521,44,171,306,882a134953fffff,274,1252318.1015625,4168.94685906955
9,0,3,6,882a134955fffff,275,1252936.1875,4169.96813726029
39,3,19,17,882a134957fffff,276,1252459.37890625,4169.17991273759
2502,147,686,1669,882a134959fffff,277,1253127.83984375,4170.28578933683
1984,171,651,1162,882a13495bfffff,278,1252650.1484375,4169.49607270628
158,9,36,113,882a13495dfffff,279,1253271.90234375,4170.52354871357
386,13,158,215,882a134983fffff,280,1248933.72265625,4163.34596454005
6399,491,1574,4334,882a134991fffff,281,1248318.578125,4162.32797623976
36902,1102,3305,32495,882a134993fffff,282,1247843.28125,4161.54074735211
1994,97,717,1180,882a134995fffff,283,1248458.67578125,4162.55949260951
7288,665,2175,4448,882a134997fffff,284,1247985.5390625,4161.77592007849
5467,461,1688,3318,882a134999fffff,285,1248649.63671875,4162.87639646268
11060,1322,3343,6395,882a13499bfffff,286,1248174.328125,4162.08923931468
2770,146,687,1937,882a13499dfffff,287,1248793.91796875,4163.11511075834
2013,231,632,1150,882a1349b1fffff,288,1248270.51953125,4162.24727608458
3173,247,948,1978,882a1349b3fffff,289,1247795.375,4161.46028877769
201,36,64,101,882a1349b7fffff,290,1247939.55859375,4161.69897015375
173,8,63,102,882a1349b9fffff,291,1248602.0078125,4162.79644307382
1694,109,471,1114,882a1349bbfffff,292,1248126.6796875,4162.00925461662
2369,236,759,1374,882a1349d1fffff,293,1249457.96875,4164.214885746
4086,250,1010,2826,882a1349d3fffff,294,1248980.7890625,4163.42489212865
1646,90,617,939,882a1349d7fffff,295,1249125.390625,4163.6641252783
1530,92,443,995,882a1349d9fffff,296,1249789.61328125,4164.76398974771
4833,276,1020,3537,882a1349dbfffff,297,1249312.61328125,4163.9743888095
4,1,1,2,882a134a03fffff,298,1253582.11328125,4171.03855211587
2298,159,784,1355,882a134a07fffff,299,1253728.1171875,4171.27965869263
225,6,96,123,882a134a11fffff,300,1252957.82421875,4170.00683407144
3425,193,891,2341,882a134a13fffff,301,1252479.95703125,4169.21673425417
4590,369,1105,3116,882a134a15fffff,302,1253104.05078125,4170.24836485442
3919,338,1173,2408,882a134a17fffff,303,1252626.08203125,4169.45815038191
4225,377,1323,2525,882a134a21fffff,304,1254020.58203125,4171.76260340103
3218,243,918,2057,882a134a23fffff,305,1253542.3203125,4170.97222178342
603,43,174,386,882a134a25fffff,306,1254166.25390625,4172.00314292841
2587,228,834,1525,882a134a27fffff,307,1253688.35546875,4171.21337215583
229,8,96,125,882a134a29fffff,308,1254352.734375,4172.31163609642
4014,284,1269,2461,882a134a2bfffff,309,1253874.296875,4171.52103381799
1237,83,372,782,882a134a2dfffff,310,1254498.83203125,4172.55282820415
5753,564,1797,3392,882a134a31fffff,311,1252918.2578125,4169.94084352981
10865,942,3009,6914,882a134a33fffff,312,1252440.70703125,4169.15125931287
4218,336,1300,2582,882a134a35fffff,313,1253064.33203125,4170.18214260496
2078,151,617,1310,882a134a37fffff,314,1252586.85546875,4169.39273914747
9441,774,2456,6211,882a134a39fffff,315,1253250.07421875,4170.4895451669
7229,701,2259,4269,882a134a3bfffff,316,1252772.30859375,4169.69972671339
9051,467,1829,6755,882a134a3dfffff,317,1253396.25390625,4170.73098986245
10770,746,2882,7142,882a134a81fffff,318,1250717.06640625,4166.30071110171
2420,136,773,1511,882a134a83fffff,319,1250240.26171875,4165.51172014503
9840,1031,3027,5782,882a134a85fffff,320,1250863.04296875,4166.54202734765
9486,1011,2518,5957,882a134a87fffff,321,1250386.28125,4165.75314455897
7958,732,2270,4956,882a134a89fffff,322,1251047.70703125,4166.84794366482
8736,807,2253,5676,882a134a8bfffff,323,1250571.12890625,4166.05943345288
8765,897,2781,5087,882a134a8dfffff,324,1251194.2109375,4167.09010388665
4238,343,1310,2585,882a134a91fffff,325,1249618.0234375,4164.48206042163
